Municipality,EQUALIZED NET GRAND LIST GLYR 2004
"ANDOVER",383370381.1353
"ANSONIA",1601884953.1657
"ASHFORD",416704084.0410
"AVON",3733540848.2604
"BARKHAMSTED",502992450.4867
"BEACON FALLS",715846788.5260
"BERLIN",2976466167.9385
"BETHANY",912870765.6588
"BETHEL",3075222715.6716
"BETHLEHEM",617317300.6385
"BLOOMFIELD",2451100334.4286
"BOLTON",626577968.4348
"BOZRAH",359414373.7596
"BRANFORD",4653069795.7143
"BRIDGEPORT",10555137311.2051
"BRIDGEWATER",640652224.3010
"BRISTOL",5861678208.6005
"BROOKFIELD",3553995102.3606
"BROOKLYN",658006150.0000
"BURLINGTON",1247341564.2329
"CANAAN",240002875.1429
"CANTERBURY",465949244.2857
"CANTON",1503385716.3287
"CHAPLIN",229023802.9962
"CHESHIRE",4160548363.8114
"CHESTER",709865130.5951
"CLINTON",2386718405.9868
"COLCHESTER",1678268070.0629
"COLEBROOK",265307640.5967
"COLUMBIA",736212678.2555
"CORNWALL",568378886.8924
"COVENTRY",1149266642.8571
"CROMWELL",1815383788.9548
"DANBURY",11027563560.0441
"DARIEN",11659514241.6737
"DEEP RIVER",838006028.1773
"DERBY",1459683254.8433
"DURHAM",1079852970.8211
"EAST GRANBY",763598123.1807
"EAST HADDAM",1305937728.9151
"EAST HAMPTON",1509409785.3961
"EAST HARTFORD",4356509974.7773
"EAST HAVEN",3072469404.8297
"EAST LYME",3146338300.1437
"EAST WINDSOR",1342083583.5125
"EASTFORD",209323730.8375
"EASTON",2253935474.3177
"ELLINGTON",1643041583.2579
"ENFIELD",4320230220.5925
"ESSEX",1665980477.6135
"FAIRFIELD",17057834889.1456
"FARMINGTON",4876994774.7454
"FRANKLIN",283925401.9416
"GLASTONBURY",5663902305.7311
"GOSHEN",779534263.1583
"GRANBY",1439837448.8131
"GREENWICH",49811503913.5083
"GRISWOLD",1137763769.9347
"GROTON",6125214279.3373
"GROTON (City of)",
"GUILFORD",4639365468.1866
"HADDAM",1228128152.5891
"HAMDEN",6577296743.0743
"HAMPTON",197339535.5083
"HARTFORD",8511588775.3340
"HARTLAND",273982423.1690
"HARWINTON",807520240.8498
"HEBRON",1152513922.5570
"KENT",899132220.5606
"KILLINGLY",1785899238.2224
"KILLINGWORTH",1085226066.2644
"LEBANON",873770022.9936
"LEDYARD",1774281996.1556
"LISBON",550174547.4137
"LITCHFIELD",1605433715.7117
"LYME",838979842.8141
"MADISON",4463041163.5308
"MANCHESTER",5870881342.0075
"MANSFIELD",1239359901.4286
"MARLBOROUGH",831987064.6513
"MERIDEN",5016026552.1794
"MIDDLEBURY",1463524858.4229
"MIDDLEFIELD",662532095.3910
"MIDDLETOWN",5095087576.4121
"MILFORD",9955008582.0651
"MONROE",3624726035.9087
"MONTVILLE",2076079118.2552
"MORRIS",467397792.8571
"NAUGATUCK",2884994064.2604
"NEW BRITAIN",4101710436.8421
"NEW CANAAN",11966184456.6611
"NEW FAIRFIELD",2557947818.5714
"NEW HARTFORD",955389041.8513
"NEW HAVEN",8966234948.5811
"NEW LONDON",2304168202.7850
"NEW MILFORD",4822482900.5550
"NEWINGTON",4051823902.0550
"NEWTOWN",5446999350.2536
"NORFOLK",386583624.1839
"NORTH BRANFORD",1965766156.1936
"NORTH CANAAN",488683484.0632
"NORTH HAVEN",4550897714.5707
"NORTH STONINGTON",859732688.6138
"NORWALK",15734793669.0274
"NORWICH",3276807433.2410
"OLD LYME",2094246352.8571
"OLD SAYBROOK",3304402788.2257
"ORANGE",3158462689.4746
"OXFORD",1865790842.6545
"PLAINFIELD",1416799189.0957
"PLAINVILLE",2005566044.0706
"PLYMOUTH",1121846151.8798
"POMFRET",467513311.4286
"PORTLAND",1155149635.3678
"PRESTON",563638205.8669
"PROSPECT",1230868614.5910
"PUTNAM",891231152.0616
"REDDING",2785546227.7438
"RIDGEFIELD",7917590872.2266
"ROCKY HILL",2717981444.7896
"ROXBURY",919653863.7001
"SALEM",555723753.3039
"SALISBURY",1467269419.3033
"SCOTLAND",172413629.1792
"SEYMOUR",2031618972.5928
"SHARON",966939124.2433
"SHELTON",7423783121.0008
"SHERMAN",1072393333.6236
"SIMSBURY",3687323416.5762
"SOMERS",1034451474.2857
"SOUTH WINDSOR",3563086894.2557
"SOUTHBURY",3527670227.5149
"SOUTHINGTON",5603060534.7431
"SPRAGUE",288754752.8571
"STAFFORD",1149312291.4677
"STAMFORD",32333100323.5201
"STERLING",395348138.5956
"STONINGTON",4225653292.1282
"STRATFORD",6479015268.5714
"SUFFIELD",1789754125.9246
"THOMASTON",872660169.8305
"THOMPSON",900420176.7143
"TOLLAND",1635127180.0000
"TORRINGTON",3323905882.1570
"TRUMBULL",7348967943.3854
"UNION",139591656.3277
"VERNON",2597687500.0305
"VOLUNTOWN",310869832.5503
"WALLINGFORD",6513986847.6362
"WARREN",426345908.7466
"WASHINGTON",1603445348.4090
"WATERBURY",6659092768.9846
"WATERFORD",4622086966.3922
"WATERTOWN",2818263761.9495
"WEST HARTFORD",8847511973.4344
"WEST HAVEN",4772998304.4605
"WESTBROOK",1739946035.6161
"WESTON",3974106476.5327
"WESTPORT",14803575316.5762
"WETHERSFIELD",3541097244.3691
"WILLINGTON",653922978.1752
"WILTON",7147860185.8822
"WINCHESTER",1055824838.6528
"WINDHAM",1396499499.3881
"WINDSOR",3744909820.6145
"WINDSOR LOCKS",1870948983.8888
"WOLCOTT",1847012210.6887
"WOODBRIDGE",1679135411.4286
"WOODBURY",1836357379.7840
"WOODSTOCK",1094767162.4420
